orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
255,"B0000304652899","2025-06-17",24403342,2,90761.48,32030.85,75009.49,0.00,15751.99,0.00000000000,"2609.30",0.00,"30516.30","1514.55","","0.00","0.00",012
256,"B0000304652900","2025-06-17",24424137,2,89466.94,17187.15,73939.62,0.00,15527.32,0.00000000000,"2572.09",0.00,"4499.10","12688.05","","0.00","0.00",012
257,"B0000304652901","2025-06-17",24454990,2,28700.93,5719.20,23719.78,0.00,4981.15,0.00000000000,"825.12",0.00,"4719.40","999.80","","0.00","0.00",012
258,"B0000304652902","2025-06-17",24461040,2,84694.34,34718.55,69995.32,0.00,14699.02,0.00000000000,"2434.88",0.00,"34343.70","374.85","","0.00","0.00",012
259,"B0000304652903","2025-06-17",24475076,2,8235.98,1999.80,6806.59,0.00,1429.38,0.00000000000,"236.78",0.00,"1999.80","0.00","","0.00","0.00",012
260,"B0000304652904","2025-06-17",24500984,2,79670.97,26395.50,65843.78,0.00,13827.19,0.00000000000,"2290.46",0.00,"22646.70","3748.80","","0.00","0.00",012
261,"B0000304652905","2025-06-17",24502820,2,45376.13,9518.40,37500.93,0.00,7875.20,0.00000000000,"1304.52",0.00,"8318.80","1199.60","","0.00","0.00",012
262,"B0000304652906","2025-06-17",24502910,2,18531.87,1999.90,15315.60,0.00,3216.28,0.00000000000,"532.77",0.00,"0.00","1999.90","","0.00","0.00",012
263,"B0000304652907","2025-06-17",24510220,2,44164.50,6599.20,36499.58,0.00,7664.91,0.00000000000,"1269.69",0.00,"3299.60","3299.60","","0.00","0.00",012
264,"B0000304652908","2025-06-17",24521108,2,50875.17,16677.45,42045.60,0.00,8829.58,0.00000000000,"1462.61",0.00,"13527.90","3149.55","","0.00","0.00",012
265,"B0000304652909","2025-06-17",24551414,10,264705.00,62062.05,197976.89,0.00,66728.11,0.00000000000,"0.00",0.00,"42128.75","45642.80","","0.00","25152.96",012
266,"B0000304652910","2025-06-17",24563293,2,53090.10,18628.20,43876.11,0.00,9213.98,0.00000000000,"1526.29",0.00,"16378.50","2249.70","","0.00","0.00",012
267,"B0000304652911","2025-06-17",24564397,2,74617.59,25110.60,61667.43,0.00,12950.16,0.00000000000,"2145.18",0.00,"22785.90","2324.70","","0.00","0.00",012
268,"B0000304652912","2025-06-17",24566721,2,74441.48,26380.65,61521.88,0.00,12919.60,0.00000000000,"2140.12",0.00,"23156.70","3223.95","","0.00","0.00",012
269,"B0000304652913","2025-06-17",24577502,2,33606.93,13346.25,27774.32,0.00,5832.61,0.00000000000,"966.17",0.00,"12896.40","449.85","","0.00","0.00",012
270,"B0000304652914","2025-06-17",24585017,2,61362.98,14787.15,50713.20,0.00,10649.77,0.00000000000,"1764.13",0.00,"7258.50","7528.65","","0.00","0.00",012
271,"B0000304652915","2025-06-17",24586722,2,45943.02,7068.80,37969.44,0.00,7973.58,0.00000000000,"1320.82",0.00,"3799.40","3269.40","","0.00","0.00",012
272,"B0000304652916","2025-06-17",24586749,2,87053.62,36236.10,71945.14,0.00,15108.48,0.00000000000,"2502.71",0.00,"36236.10","0.00","","0.00","0.00",012
273,"B0000304652917","2025-06-17",24591246,2,93270.18,38288.25,77082.79,0.00,16187.39,0.00000000000,"2681.43",0.00,"37913.40","374.85","","0.00","0.00",012
274,"B0000304652918","2025-06-17",24591793,2,55180.80,13398.60,45603.97,0.00,9576.83,0.00000000000,"1586.39",0.00,"13398.60","0.00","","0.00","0.00",012
275,"B0000304652919","2025-06-17",24633585,2,115436.24,30654.45,95401.85,0.00,20034.39,0.00000000000,"3318.68",0.00,"18477.30","12177.15","","0.00","0.00",012
276,"B0000304652920","2025-06-17",24636339,2,33310.45,8088.20,27529.30,0.00,5781.15,0.00000000000,"957.64",0.00,"8088.20","0.00","","0.00","0.00",012
277,"B0000304652921","2025-06-17",24639893,2,44678.87,18597.60,36924.69,0.00,7754.18,0.00000000000,"1284.47",0.00,"18597.60","0.00","","0.00","0.00",012
278,"B0000304652922","2025-06-17",24646687,2,80352.73,31840.35,66407.22,0.00,13945.52,0.00000000000,"2310.06",0.00,"30715.80","1124.55","","0.00","0.00",012
279,"B0000304652923","2025-06-17",24668400,2,31435.04,4258.70,25979.37,0.00,5455.67,0.00000000000,"903.73",0.00,"1559.40","2699.30","","0.00","0.00",012
280,"B0000304652924","2025-06-17",24668451,2,46788.84,5049.30,38668.47,0.00,8120.38,0.00000000000,"1345.13",0.00,"0.00","5049.30","","0.00","0.00",012
281,"B0000304652925","2025-06-17",24668486,2,38801.36,11652.15,32067.24,0.00,6734.12,0.00000000000,"1115.50",0.00,"8502.90","3149.25","","0.00","0.00",012
282,"B0000304652926","2025-06-17",24669407,2,102668.02,32664.60,84849.60,0.00,17818.42,0.00000000000,"2951.61",0.00,"25614.90","7049.70","","0.00","0.00",012
283,"B0000304652927","2025-06-17",24672890,2,32814.84,13016.55,27119.71,0.00,5695.14,0.00000000000,"943.39",0.00,"12566.70","449.85","","0.00","0.00",012
284,"B0000304652928","2025-06-17",24693081,2,25115.15,3898.90,20756.32,0.00,4358.83,0.00000000000,"722.04",0.00,"2139.40","1759.50","","0.00","0.00",012
285,"B0000304652929","2025-06-17",24698482,2,44955.65,9028.80,37153.43,0.00,7802.22,0.00000000000,"1292.43",0.00,"7519.20","1509.60","","0.00","0.00",012
286,"B0000304652930","2025-06-17",24715956,2,54478.51,22676.70,45023.57,0.00,9454.95,0.00000000000,"1566.20",0.00,"22676.70","0.00","","0.00","0.00",012
287,"B0000304652931","2025-06-17",24715999,2,35414.13,8599.00,29267.88,0.00,6146.25,0.00000000000,"1018.12",0.00,"8599.00","0.00","","0.00","0.00",012
288,"B0000304652932","2025-06-17",24716057,2,102792.61,25734.60,84952.57,0.00,17840.04,0.00000000000,"2955.19",0.00,"13797.60","11937.00","","0.00","0.00",012
289,"B0000304652933","2025-06-17",24719463,2,105104.05,43749.60,86862.85,0.00,18241.20,0.00000000000,"3021.64",0.00,"43749.60","0.00","","0.00","0.00",012
290,"B0000304652934","2025-06-17",24720054,2,14412.75,3499.60,11911.37,0.00,2501.39,0.00000000000,"414.35",0.00,"3499.60","0.00","","0.00","0.00",012
291,"B0000304652935","2025-06-17",24720062,2,91383.55,31375.65,75523.59,0.00,15859.95,0.00000000000,"2627.19",0.00,"26711.70","4663.95","","0.00","0.00",012
292,"B0000304652936","2025-06-17",24720178,2,37062.31,8999.20,30630.00,0.00,6432.30,0.00000000000,"1065.51",0.00,"8999.20","0.00","","0.00","0.00",012
293,"B0000304652937","2025-06-17",24734152,2,10705.16,1599.60,8847.24,0.00,1857.92,0.00000000000,"307.76",0.00,"799.80","799.80","","0.00","0.00",012
294,"B0000304652938","2025-06-17",24737542,2,42313.06,5899.40,34969.47,0.00,7343.59,0.00000000000,"1216.46",0.00,"2399.60","3499.80","","0.00","0.00",012
295,"B0000304652939","2025-06-17",24737569,2,35882.50,14936.10,29654.96,0.00,6227.54,0.00000000000,"1031.59",0.00,"14936.10","0.00","","0.00","0.00",012
296,"B0000304652940","2025-06-17",24737593,2,31378.82,6119.30,25932.91,0.00,5445.91,0.00000000000,"902.11",0.00,"4919.40","1199.90","","0.00","0.00",012
297,"B0000304652941","2025-06-17",24738093,2,42588.80,17727.60,35197.35,0.00,7391.44,0.00000000000,"1224.39",0.00,"17727.60","0.00","","0.00","0.00",012
298,"B0000304652942","2025-06-17",24738786,2,41881.45,13812.60,34612.77,0.00,7268.68,0.00000000000,"1204.05",0.00,"11278.20","2534.40","","0.00","0.00",012
299,"B0000304652943","2025-06-17",24744190,2,44781.75,10498.70,37009.71,0.00,7772.04,0.00000000000,"1287.43",0.00,"10198.80","299.90","","0.00","0.00",012
300,"B0000304652944","2025-06-17",24759180,10,290135.47,70954.65,216996.73,0.00,73138.75,0.00000000000,"8341.11",0.00,"36084.60","34870.05","","0.00","27569.43",012
301,"B0000304652945","2025-06-17",24766208,2,131060.11,43071.75,108314.14,0.00,22745.97,0.00000000000,"3767.85",0.00,"35034.30","8037.45","","0.00","0.00",012
