cod_articulo,precio,descripcion,descripcion_adic,escala_1,escala_2,cod_unidad_medida,cod_barra,usa_escala,cta_compras,lleva_partida,lleva_serie,alicuota_iva,cta_ventas,cod_proveedor,sinonimo,alicuota_iva_co,porc_comision_ventas,porc_utilidad,stk_maximo,stk_minimo,punto_pedido,equivalencia,unidad_medida_compra
100491,"0.00","LAPIZ LAB.CREM CASUAL 80 ROSA NATURAL","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100495,"0.00","ESMALTE SATIN. CASUAL 304 CORAL RADIANTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100503,"0.00","EAU TOILETTE FEM. JE T AIME MON AMOUR 50","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100506,"0.00","VIOLETTA BE SEXY EDP FEM A BOLILLA 20ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100508,"0.00","CREMA CUERPO Y MANOS LAVANDA 215 ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100509,"0.00","SOMBRA CREMOSA L.DURAC.SK LL 9 VERDE SEC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100532,"0.00","REPAIR EXPERT AMPOLLA CAP.REPARADOR 15ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100534,"0.00","EAU TOILETTE FEM. B.LOVE FOREVER SEXY 50","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100535,"0.00","EAU DE TOILETTE MASC. BERLIN 70 ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100536,"0.00","LABIAL LIQUIDO 12H SKLL 8 ELEGANCIA IRRE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100537,"0.00","STAND UP LAVANDA GEL EXFOLIANTE 90G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100539,"0.00","LABIAL MATE SK LL 10 MALVA INOCENTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100540,"0.00","ESMALTE GEL SK LL 10 MALVA INOCENTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100545,"0.00","ICE CREAM LABIAL LIQ.MATTE YOU 2 FRUT.CH","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100546,"0.00","ICE CREAM LABIAL LIQ.MATTE YOU 3 CEREZA","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100548,"0.00","ICE CREAM LABIAL LIQ.MATTE YOU 5 MORA A","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100550,"0.00","MAQUILLAJE CORRECTOR SK LL 01 BEIGE CLAR","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100551,"0.00","MAQUILLAJE CORRECTOR SK LL 02 BEIGE MEDI","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100552,"0.00","MAQUILLAJE CORRECTOR SK LL 03 STROBING","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100553,"0.00","MAQUILLAJE CORRECTOR SK LL 04 CONTOURING","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100554,"0.00","MAQUILLAJE CORRECTOR SK LL 05 NARANJA","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100555,"0.00","MAQUILLAJE CORRECTOR SK LL 06 AMARILLO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100556,"0.00","DELINEADOR EN GEL P/OJOS SK LL BLACK","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100558,"0.00","CREMA P/MANOS PERFUM. VIOLETTA FLOPPY30G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100559,"0.00","MAQUILLAJE CORRECTOR SK LL 07 VERDE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100560,"0.00","AGUAS DE FRUTAS NARANJA BRUMA HIDRATANTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100561,"0.00","AGUAS DE FRUTAS KIWI BRUMA HIDRATANTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100562,"0.00","AGUAS DE FRUTAS ANANA BRUMA HIDRATANTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100570,"0.00","PRINCESA ESMALTE P/NENA 01 ROSA ENAMORAD","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100571,"0.00","PRINCESA ESMALTE P/NENA 02 LILA MAGICA","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100572,"0.00","POMELO NATURAL TOALLAS DESMAQ.FACIAL 15U","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100581,"0.00","VELVETY BANDAS DEPI. ROSTRO C/KARITE X6","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100582,"0.00","VELVETY BANDAS DEPI. CUERPO C/KARITE X6","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100584,"0.00","ESMALTE GEL SK LL 13 NUDE ELEGANTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100585,"5499.00","ESMALTE GEL SK LL 14 NUDE WHITE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100586,"0.00","ESMALTE GEL SK LL 15 NUDE ROSE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100588,"0.00","ESMALTE GEL SK LL 17 BORGOÑA EMBRIAGADOR","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100590,"0.00","VIT C CREMA PARA MANOS 110G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100591,"0.00","SHOCK TRAT.CAPILAR EXFOLIANTE CAPILAR70G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100616,"0.00","ESMALTE GEL SK LL C/PERLAS 19 SHINY SHIN","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100628,"0.00","EXFOLIANTE PARA LABIOS YOU 01 CHICLE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100629,"0.00","YOU IMPACT MASC. PESTAÑAS LAVABLE 5G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100630,"0.00","DESOD.ANTIT.ROLLON 55ML FLY","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100631,"0.00","DESOD.ANTIT.ROLLON 55ML H. SPORT EXTREME","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100632,"0.00","VELVETY CREMA DEPILATORIA ROSTRO C/KARIT","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100633,"7999.00","VELVETY CERA DEPILATORIA C/ KARITE 130G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100634,"0.00","ALOE VERA  CREMA P/ROSTRO HIDRATANTE 84G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100640,"8999.00","YOU IMPACT MASC. PESTAÑAS WATERPROOF 5G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100641,"0.00","PROTECT CALCIO Y COLOR 26 NEGRO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100642,"0.00","PROTECT CALCIO Y COLOR 27 ROSA DELICADO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
